,R2 Score,RMSE,MAE
RandomForest,0.8868410695087342,29461.261176745687,17689.720957502217
GradientBoosting,0.9080410591552687,26558.521682249426,16315.944276371065
XGBoost,0.9126284583086991,25887.607575771224,15705.03534353596
SVR,0.6895055202360026,48801.57728312397,24727.50920874602
KNN,0.8169673451324515,37468.922714719105,21346.970645792564
LinearRegression,0.833399854023617,35747.41201547114,21870.090384711963
